State,Total,Per10kResidents,ChronicallyHomeless,PeopleInFamilyUnits,SoloIndividuals,UnaccompaniedYouths,Veterans
Alabama,3752,7.4,539,1270,2482,169,308
Alaska,2320,31.7,576,560,1760,186,134
Arizona,13553,18.6,2476,2846,10707,917,857
Arkansas,2459,8.1,376,328,2131,251,92
California,171521,43.7,57760,25538,145983,9590,10395
Colorado,10397,17.9,3466,2151,8246,453,738
Connecticut,2930,8.1,117,923,2007,113,149
Delaware,2369,23.6,196,1304,1065,65,93
District of Columbia,4410,65.8,1257,1004,3406,360,208
Florida,25959,11.9,4233,6440,19519,1011,2279
Georgia,10689,9.9,1354,2784,7905,479,664
Hawaii,5967,41.4,1495,1488,4479,184,306
Idaho,1998,10.5,238,765,1233,84,149
Illinois,9212,7.3,1341,2968,6244,628,524
Indiana,5449,8,470,1523,3926,267,482
Iowa,2419,7.6,393,753,1666,124,141
Kansas,2397,8.2,465,643,1754,126,218
Kentucky,3984,8.8,670,993,2991,223,328
Louisiana,7373,15.9,397,4314,3059,191,322
Maine,4411,32.1,500,1954,2457,209,243
Maryland,5349,8.7,899,1758,3591,232,303
Massachusetts,15507,22.2,1558,9976,5531,365,534
Michigan,8206,8.2,1004,3302,4904,451,498
Minnesota,7917,13.9,1773,2960,4957,604,290
Mississippi,1196,4.1,105,105,1091,126,139
Missouri,5992,9.7,1145,1680,4312,466,476
Montana,1585,14.4,343,423,1162,104,172
Nebraska,2246,11.4,522,574,1672,121,145
Nevada,7618,24.2,2752,798,6820,376,752
New Hampshire,1605,11.6,341,541,1064,88,127
New Jersey,8752,9.4,1521,2945,5807,438,479
New Mexico,2560,12.1,714,774,1786,140,91
New York,74178,37.7,5994,34805,39373,2762,990
North Carolina,9382,8.9,1697,2730,6652,415,687
North Dakota,610,7.9,170,171,439,36,37
Ohio,10654,9,1023,3214,7440,703,633
Oklahoma,3754,9.4,1247,788,2966,374,273
Oregon,17959,42.3,6447,3373,14586,1066,1460
Pennsylvania,12691,9.8,1759,4830,7861,579,778
Rhode Island,1577,14.4,421,506,1071,61,113
South Carolina,3608,7,698,866,2742,211,359
South Dakota,1389,15.5,131,418,971,82,40
Tennessee,10567,15.1,1653,2360,8207,518,549
Texas,24432,8.3,4812,5853,18579,1226,1711
Utah,3557,10.7,722,1078,2479,189,155
Vermont,2780,43.1,398,857,1923,145,100
Virginia,6529,7.6,1142,2295,4234,270,392
Washington,25211,32.6,7376,6486,18725,1802,1569
West Virginia,1375,7.7,204,137,1238,135,122
Wisconsin,4775,8.1,510,1889,2886,228,341
Wyoming,648,11.2,83,190,458,64,68
