,State_ID,State,Lat,Lon,Sleep in public statewide,Sleep in specific public places,Camp in public statewide,Camp in specific public places,Lying in specific public places,Sleep/live in vehicle,Loitering statewide,Loiter in specific public places,Standing in road,Panhandling statewide,Panhandling in specific public places,Panhandling in particular ways,Restrictiveness Score,TotalPopulation,Per10kResidents,ChronicallyHomeless,PeopleInFamilyUnits,SoloIndividuals,UnaccompaniedYouths,Veterans,ChronicPer10k
0,0,Alabama,33.2588817,-86.8295337,False,False,False,False,False,False,True,True,True,True,True,True,6,3752,7.4,539,1270,2482,169,308,1.0630597014925374
1,1,Alaska,64.4459613,-149.680909,False,False,False,True,False,False,False,False,False,False,False,False,1,2320,31.7,576,560,1760,186,134,7.870344827586207
2,2,Arkansas,35.2048883,-92.4479108,False,False,False,False,False,False,True,True,True,True,True,False,5,2459,8.1,376,328,2131,251,92,1.2385522570150467
3,3,Arizona,34.395342,-111.763275,False,False,False,True,False,False,True,True,True,False,True,True,6,13553,18.6,2476,2846,10707,917,857,3.398037334907401
4,4,California,36.7014631,-118.755997,False,False,True,True,True,False,False,True,True,True,False,False,5,171521,43.7,57760,25538,145983,9590,10395,14.716052261822167
5,5,Colorado,38.7251776,-105.607716,False,False,False,True,False,False,False,False,True,False,False,False,2,10397,17.9,3466,2151,8246,453,738,5.967240550158699
6,6,Connecticut,41.6500201,-72.7342163,False,False,False,False,True,False,False,True,True,False,False,False,3,2930,8.1,117,923,2007,113,149,0.3234470989761092
7,7,District of Columbia,38.89384735,-76.98804281910948,False,False,False,False,False,False,False,False,False,False,True,True,2,4410,65.8,1257,1004,3406,360,208,18.75523809523809
8,8,Delaware,38.6920451,-75.4013315,False,False,False,False,True,False,True,True,False,True,False,False,4,2369,23.6,196,1304,1065,65,93,1.95255382017729
9,9,Florida,28.5421109,-81.3790304,False,False,True,False,False,False,True,False,True,False,True,False,4,25959,11.9,4233,6440,19519,1011,2279,1.9404715127701377
10,10,Georgia,41.6809707,44.0287382,False,False,False,True,False,False,True,True,True,False,True,False,5,10689,9.9,1354,2784,7905,479,664,1.254055571147909
11,11,Hawaii,19.5938015,-155.42837009716908,False,False,False,False,True,True,False,False,False,True,False,False,3,5967,41.4,1495,1488,4479,184,306,10.372549019607844
12,12,Iowa,41.9216734,-93.3122705,False,False,False,True,False,False,True,True,True,False,False,False,4,2419,7.6,393,753,1666,124,141,1.234725093013642
13,13,Idaho,43.6447642,-114.015407,False,True,False,False,False,False,False,False,False,False,True,False,1,1998,10.5,238,765,1233,84,149,1.2507507507507507
14,14,Illinois,40.0796606,-89.4337288,False,False,False,True,False,False,False,False,True,False,True,False,3,9212,7.3,1341,2968,6244,628,524,1.0626682587928789
15,15,Indiana,40.3270127,-86.1746933,False,False,False,False,False,False,False,False,True,False,True,True,3,5449,8.0,470,1523,3926,267,482,0.690034868783263
16,16,Kansas,38.27312,-98.5821872,False,False,False,False,False,False,False,True,True,False,True,False,3,2397,8.2,465,643,1754,126,218,1.5907384230287858
17,17,Kentucky,37.5726028,-85.1551411,False,False,False,False,False,False,True,True,True,False,True,False,4,3984,8.8,670,993,2991,223,328,1.4799196787148596
18,18,Louisiana,30.8703881,-92.007126,False,False,False,False,False,False,False,True,True,False,False,False,2,7373,15.9,397,4314,3059,191,322,0.8561372575613726
19,19,Massachusetts,42.3788774,-72.032366,False,False,False,False,False,False,True,True,False,True,True,False,4,15507,22.2,1558,9976,5531,365,534,2.2304507641710196
20,20,Maryland,39.5162401,-76.9382069,False,False,False,False,False,False,True,False,True,False,False,False,2,5349,8.7,899,1758,3591,232,303,1.4621985417835108
21,21,Maine,45.709097,-68.8590201,False,False,False,False,True,False,False,True,True,False,False,False,3,4411,32.1,500,1954,2457,209,243,3.6386306959873043
22,22,Michigan,43.6211955,-84.6824346,False,False,False,False,False,False,True,False,False,False,False,False,1,8206,8.2,1004,3302,4904,451,498,1.0032659029978064
23,23,Minnesota,45.9896587,-94.6113288,False,False,False,False,False,False,False,False,True,False,True,False,2,7917,13.9,1773,2960,4957,604,290,3.112883668056082
24,24,Missouri,38.7604815,-92.5617875,False,False,False,False,False,False,False,False,False,False,False,False,0,5992,9.7,1145,1680,4312,466,476,1.8535547396528704
25,25,Mississippi,32.9715285,-89.7348497,False,True,False,False,False,False,False,False,True,False,True,False,3,1196,4.1,105,105,1091,126,139,0.3599498327759197
26,26,Montana,47.3752671,-109.638757,False,False,False,False,False,False,False,False,True,False,True,False,2,1585,14.4,343,423,1162,104,172,3.1162145110410093
27,27,North Carolina,35.6729639,-79.0392919,False,False,False,False,True,False,False,True,True,False,True,True,5,9382,8.9,1697,2730,6652,415,687,1.6098166702195695
28,28,North Dakota,47.6201461,-100.540737,False,False,False,False,False,False,False,False,True,False,True,False,2,610,7.9,170,171,439,36,37,2.2016393442622952
29,29,Nebraska,41.7370229,-99.5873816,False,False,False,True,False,False,False,True,True,False,False,False,3,2246,11.4,522,574,1672,121,145,2.6495102404274267
