State ID,State,Sleeping in Public,Sleeping in Specific Public Areas,Camping in Public,Camping in Specific Public Areas,Lying Down in Public,Sleeping or Living in a Vehicle,Loitering,Loitering in Specific Public Areas,Standing in Roadway,Panhandling in Public,Panhandling in Specific Public Areas,Panhandling in particular ways,Restrictiveness Score,Total Homeless Population,Homeless Per 10k Residents,Chronically Homeless,PeopleInFamilyUnits,SoloIndividuals,UnaccompaniedYouths,Veterans,Sheltered Homeless Population,Individuals Sheltered,Families Sheltered,Unaccompanied Youth Sheltered
0,Alabama,False,False,False,False,False,False,True,True,True,True,True,True,6,3752,7.4,539,1270,2482,169,308,1626.0,1165.0,461.0,55.0
1,Alaska,False,False,False,True,False,False,False,False,False,False,False,False,1,2320,31.7,576,560,1760,186,134,1797.0,1295.0,502.0,195.0
2,Arizona,False,False,False,True,False,False,True,True,True,False,True,True,6,13553,18.6,2476,2846,10707,917,857,5460.0,3304.0,2165.0,249.0
3,Arkansas,False,False,False,False,False,False,True,True,True,True,True,False,5,2459,8.1,376,328,2131,251,92,1470.0,1204.0,266.0,129.0
4,California,False,False,True,True,True,False,False,True,True,True,False,False,5,171521,43.7,57760,25538,145983,9590,10395,51429.0,32910.0,18519.0,2526.0
5,Colorado,False,False,False,True,False,False,False,False,True,False,False,False,2,10397,17.9,3466,2151,8246,453,738,8016.0,5569.0,2447.0,293.0
6,Connecticut,False,False,False,False,True,False,False,True,True,False,False,False,3,2930,8.1,117,923,2007,113,149,2165.0,1504.0,661.0,96.0
7,Delaware,False,False,False,False,True,False,True,True,False,True,False,False,4,2369,23.6,196,1304,1065,65,93,1579.0,736.0,843.0,41.0
8,District of Columbia,False,False,False,False,False,False,False,False,False,False,True,True,2,4410,65.8,1257,1004,3406,360,208,4430.0,3195.0,1235.0,311.0
9,Florida,False,False,True,False,False,False,True,False,True,False,True,False,4,25959,11.9,4233,6440,19519,1011,2279,13393.0,8412.0,4981.0,686.0
10,Georgia,False,False,False,True,False,False,True,True,True,False,True,False,5,10689,9.9,1354,2784,7905,479,664,5232.0,3111.0,2121.0,202.0
11,Hawaii,False,False,False,False,True,True,False,False,False,True,False,False,3,5967,41.4,1495,1488,4479,184,306,2490.0,1142.0,1348.0,56.0
12,Idaho,False,True,False,False,False,False,False,False,False,False,True,False,1,1998,10.5,238,765,1233,84,149,1017.0,591.0,426.0,92.0
13,Illinois,False,False,False,True,False,False,False,False,True,False,True,False,3,9212,7.3,1341,2968,6244,628,524,6933.0,4065.0,2868.0,492.0
14,Indiana,False,False,False,False,False,False,False,False,True,False,True,True,3,5449,8.0,470,1523,3926,267,482,4050.0,2765.0,1285.0,180.0
15,Iowa,False,False,False,True,False,False,True,True,True,False,False,False,4,2419,7.6,393,753,1666,124,141,2006.0,1321.0,685.0,100.0
